benchmark,local_schema,source_questions,total_questions,few_shot_reserved,evaluated_questions,strategy,model,sample_n,mode,ex_correct,ex_total,ex_pct,valid_correct,valid_total,duration_sec,L0_ex,L1_ex,L2_ex,L3_ex,L4_ex,L5_ex,interpretation
FloodSQL-Bench,floodsql,local FloodSQL-Bench benchmark/bechmark_updated.jsonl,443,18,150,stratified25,gemini-2.5-flash,1,baseline,65,150,43.33,137,150,5584.6,17/25,9/25,21/25,3/25,4/25,11/25,"external harness-readiness smoke; not used for inference"
FloodSQL-Bench,floodsql,local FloodSQL-Bench benchmark/bechmark_updated.jsonl,443,18,150,stratified25,gemini-2.5-flash,1,full,65,150,43.33,138,150,9271.7,16/25,12/25,19/25,2/25,3/25,13/25,"external harness-readiness smoke; not used for inference"
